sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
3514,34.31640625,-6.28993546,2.319256607,7.466728912,13.06015105,17.55373351,3.030332457
3515,34.32617188,-6.438498459,2.591334264,7.181781818,17.27088186,19.41695346,5.772733048
3516,34.3359375,-6.544253266,2.654934014,7.012731947,19.25834035,19.61066186,7.572580473
3517,34.34570313,-6.54965715,3.058822252,6.915733835,20.28062896,19.78955553,9.182352768
3518,34.35546875,-6.619919361,3.339374643,6.677807604,19.91535793,20.38868556,9.367624814
3519,34.36523438,-6.730878226,3.314657038,6.381180737,19.43595474,19.83857344,8.931430235
3520,34.375,-6.840253526,3.230173431,6.161459669,19.68687374,18.02515366,8.432906237
3521,34.38476563,-6.764724936,3.190901578,6.19076391,18.48831157,16.42812887,7.989376619
3522,34.39453125,-6.636306469,3.045737975,6.465560297,16.68449343,15.24767338,7.420809341
3523,34.40429688,-6.585199972,2.543218826,6.852676276,16.38422195,14.8748074,7.603035356
3524,34.4140625,-6.436061388,2.600856939,7.190986995,18.72983241,15.80144946,9.654024985
3525,34.42382813,-6.303980122,3.303882728,7.325063133,21.42945468,18.88097872,10.41886324
3526,34.43359375,-6.289829831,3.805449143,7.350710938,22.0729123,23.84620135,8.465405895
3527,34.44335938,-6.308060911,3.903655958,7.404926178,21.99684863,27.95119397,6.196818816
3528,34.453125,-6.451661127,4.517314248,7.33341965,21.67198713,34.20330437,2.268833061
3529,34.46289063,-6.602114449,4.581547215,7.025184322,19.29763411,40.43630636,-2.965204472
3530,34.47265625,-6.792349271,4.321324472,7.090267846,17.94894191,46.87612032,-8.62507246
3531,34.48242188,-6.699919523,4.169473494,7.468959761,19.91965096,52.81130638,-13.0358743
3532,34.4921875,-6.666163123,4.063838395,7.761595509,23.75340256,60.36136931,-17.43148956
3533,34.50195313,-6.659102839,4.763843186,7.605585391,30.11766839,68.43083337,-20.88697257
3534,34.51171875,-6.799872444,5.841035392,7.251706866,36.79126634,75.55717387,-26.13310955
3535,34.52148438,-6.418978518,6.569278891,7.64005639,38.34978584,80.68408317,-34.25014352
3536,34.53125,-6.138465503,7.337085271,8.37403402,34.56440724,93.971604,-45.69742732
3537,34.54101563,-5.448671167,6.218719244,10.03107354,23.45733957,111.385968,-57.22966321
3538,34.55078125,-5.256792931,5.303287732,10.48013659,16.42287818,136.0810067,-70.93644168
3539,34.56054688,-5.946096644,5.695184856,9.552801132,12.67848398,163.758977,-76.04125785
3540,34.5703125,-5.746239954,6.614675917,9.941115195,7.147463921,185.9096825,-79.63226274
3541,34.58007813,-5.206400215,6.771982,10.96828644,-0.12855859,209.3974733,-89.88992988
3542,34.58984375,-5.200332621,6.960420148,12.72770332,-3.514308425,240.6576855,-102.9382503
3543,34.59960938,-5.818269563,7.377289525,14.24294744,-6.901077054,271.0875073,-113.0901088
3544,34.609375,-7.050829592,8.438133146,16.07469733,-11.12102323,315.7685638,-134.5473567
3545,34.61914063,-7.868858066,7.335817287,16.97554882,-19.14347736,362.776115,-162.1232008
3546,34.62890625,-9.384616654,2.814340685,18.08801287,-10.61636498,417.6164278,-184.651715
3547,34.63867188,-13.6101384,-2.76388372,16.77366044,28.65624457,473.8440997,-192.4589922
3548,34.6484375,-19.53579585,-7.305229176,12.3295574,97.00013284,530.0385152,-190.6170224
3549,34.65820313,-22.76575935,-1.291693819,8.41123559,199.3972279,578.7919763,-177.9538909
3550,34.66796875,-23.4237437,8.759157269,13.22440434,273.1307809,556.4165897,-179.1334239
3551,34.67773438,-21.80839411,13.67268376,18.22217088,262.7771452,524.8738537,-176.8904513
3552,34.6875,-21.36828462,14.65131419,16.2486564,217.1832021,521.2877268,-183.8611891
3553,34.69726563,-17.8629179,9.593443769,10.38814796,160.9029781,446.2876768,-200.1416624
